TIC ID,Period (days),Predicted Mass (M_Earth),Stellar Teff (K),Stellar Radius (R_Sun),Stellar Mass (M_Sun),Stellar log(g) (cm/s2),Stellar Distance (pc),TESS mag
169765334.00 ,5.704330141,24.89,5560.5,1.611479998,0.98,4.01,284.388,10.6929
27966179.00 ,4.27955477,61.58,4314,0.703041,0.674,4.57,200.326,12.8696
262531275.00 ,2.4843369,55.52,5608,1.76,0.99,3.94,939.136,13.0261
139285832.00 ,0.77685,10.81,5190,0.96,0.88,4.42,222.852,11.5273
224245334.00 ,3.79069,15,6150,1.13,1.17,4.4,352.269,11.5166
233964642.00 ,17.9158854,317,6090.2,1.565160036,1.18,4.11,199.657,9.5498
41865539.00 ,1.26092,44.25,5875,1.11,1.2,4.36,472.613,12.3571
55452495.00 ,17.7075811,317,7859,2.8,1.88,4.12,600.497,9.9524
155986102.00 ,6.87168,317,5446,1.33,,4.43,292.682,12.0235
116156517.00 ,5.36777,131.15,6561,1.72,1.36,4.1,542.251,11.3151
69838258.00 ,6.73069,317,6048.2,1.66,1.23,4.28,650.653,12.0885
80439101.00 ,7.42229,317,5829,,,,497.551,12.6435
33911302.00 ,1.81383,92.26,4775,0.94,0.77,4.38,415.551,13.3302
415969574.00 ,10.45776,82.69,5800,,,4.38,508.84,12.8691
66497310.00 ,1.75807,28.39,5885,1.2,1.07,4.31,519.27,12.4115
13023378.00 ,6.066853333,65.16,6149,1.0794,1.17,4.44,404.201,11.9221
308208458.00 ,11.21877179,67.3,5136,0.903365,0.87,4.47,516.33,13.5263
118327533.00 ,8.28154,317,6177,1.35,1.18,4.25,745.217,12.7291
224271611.00 ,4.04003,99.94,5692.2,1.48,1.01,4.1,344.084,11.2043
70785910.00 ,0.49346,30.91,5879,1.51,1.07,4.11,607.923,12.2494
382474101.00 ,2.6520851,131.37,6054,,,4.29,216.661,10.179
199731190.00 ,2.5130547,55.08,5635,0.85,1,4.41,341.681,12.3856
228381868.00 ,6.930303677,115.44,5570.3,1.77738,0.98,3.93,602.236,12.0719
47423120.00 ,11.6235,317,5518,0.89,1,4.34,183.391,11.014
100099031.00 ,1.297943444,317,4965,2.63993001,,,1367.8,13.4735
